,COD_COM,COMUNE,POP,provincia_dom,tot_dose1,tot_dose2,%1Dose,%2Dose
774,013004,Albese con Cassano,4144,COMO,1320.0,620.0,31.853281853281853,14.961389961389962
775,013005,Albiolo,2689,,,,,
776,013006,Alserio,1286,COMO,249.0,80.0,19.362363919129084,6.2208398133748055
777,013120,Laino,524,,,,,
778,014043,Mese,1825,SONDRIO,381.0,109.0,20.876712328767123,5.972602739726027
779,014044,Montagna in Valtellina,2966,SONDRIO,752.0,319.0,25.354012137559003,10.755225893459205
780,014045,Morbegno,12458,,,,,
781,018147,Scaldasole,878,PAVIA,187.0,83.0,21.298405466970387,9.453302961275627
782,018148,Semiana,203,PAVIA,49.0,10.0,24.137931034482758,4.926108374384237
783,019021,Casalmaggiore,15406,CREMONA,3645.0,1840.0,23.659613137738543,11.943398675840582
784,020007,Bozzolo,4066,MANTOVA,1043.0,466.0,25.651746187899654,11.46089522872602
785,020008,Canneto sull'Oglio,4286,MANTOVA,982.0,363.0,22.911805879608025,8.469435370975269
786,019014,Cappella de' Picenardi,419,CREMONA,93.0,36.0,22.195704057279237,8.591885441527447
787,019015,Capralba,2313,,,,,
788,019082,Ripalta Guerina,527,CREMONA,156.0,67.0,29.601518026565465,12.7134724857685
789,019083,Rivarolo del Re ed Uniti,1867,,,,,
790,013217,Sormano,634,COMO,136.0,47.0,21.451104100946374,7.413249211356467
791,013218,Stazzona,612,COMO,153.0,64.0,25.0,10.457516339869281
792,013222,Tavernerio,5696,COMO,1541.0,657.0,27.054073033707866,11.53441011235955
793,013223,Torno,1134,,,,,
794,013226,Trezzone,232,COMO,58.0,16.0,25.0,6.896551724137931
795,014032,Gordona,1949,,,,,
796,012097,Marchirolo,3483,VARESE,631.0,264.0,18.11656617858168,7.579672695951766
797,012091,Lozza,1264,VARESE,274.0,110.0,21.67721518987342,8.70253164556962
798,012092,Luino,14387,VARESE,3349.0,1327.0,23.27795926878432,9.22360464308056
799,012073,Gazzada Schianno,4594,VARESE,1171.0,420.0,25.489769264257728,9.14235959947758
800,012074,Gemonio,2906,VARESE,628.0,248.0,21.61046111493462,8.534067446662078
801,017028,Breno,4792,,,,,
802,015142,Melzo,18345,MILANO,4782.0,1909.0,26.067048242027802,10.406105205778141
803,015144,Mesero,4212,MILANO,911.0,405.0,21.628679962013294,9.615384615384615
804,015226,Turbigo,7119,MILANO,1537.0,580.0,21.590110970641945,8.147211687034696
805,015229,Vanzago,9287,MILANO,2183.0,851.0,23.50597609561753,9.163346613545817
806,015230,Vaprio d'Adda,9132,MILANO,2011.0,716.0,22.021462987297415,7.840560665790626
807,015184,Robecco sul Naviglio,6773,,,,,
808,015185,Rodano,4567,MILANO,1124.0,282.0,24.61134223779286,6.174731771403547
809,016021,Barzana,1987,,,,,
810,012047,Castronno,5063,VARESE,1148.0,409.0,22.674303772466917,8.078214497333597
811,012058,Cuasso al Monte,3543,VARESE,681.0,270.0,19.22099915325995,7.6206604572396275
812,012059,Cugliate-Fabiasco,3018,VARESE,563.0,206.0,18.65473823724321,6.82571239231279
813,012025,Buguggiate,3096,,,,,
814,012026,Busto Arsizio,83679,VARESE,19053.0,8133.0,22.76915355107016,9.719284408274477
815,012027,Cadegliano-Viconago,2143,VARESE,464.0,271.0,21.6518898740084,12.645823611759216
816,012009,Bardello,1605,VARESE,373.0,132.0,23.2398753894081,8.22429906542056
817,012010,Bedero Valcuvia,654,VARESE,146.0,45.0,22.32415902140673,6.8807339449541285
818,012011,Besano,2506,VARESE,570.0,271.0,22.745411013567438,10.814046288906624
819,012029,Cairate,7663,VARESE,1609.0,651.0,20.996998564530863,8.495367349601983
820,012012,Besnate,5467,,,,,
821,012013,Besozzo,8834,,,,,
822,012060,Cunardo,2942,VARESE,600.0,266.0,20.394289598912305,9.041468388851122
823,012061,Curiglia con Monteviasco,165,,,,,
824,018179,Villanova d'Ardenghi,776,PAVIA,227.0,80.0,29.25257731958763,10.309278350515465
825,017140,Pertica Bassa,604,BRESCIA,155.0,65.0,25.662251655629138,10.76158940397351
826,017141,Pezzaze,1465,BRESCIA,416.0,208.0,28.395904436860068,14.197952218430034
827,017142,Pian Camuno,4742,BRESCIA,867.0,353.0,18.283424715309994,7.444116406579503
828,016097,Fara Olivana con Sola,1275,BERGAMO,343.0,74.0,26.901960784313726,5.803921568627451
829,016098,Filago,3094,,,,,
830,015086,Cormano,20348,MILANO,4580.0,2170.0,22.508354629447613,10.664438765480638
831,015087,Cornaredo,20038,MILANO,4943.0,1528.0,24.668130551951293,7.625511528096617
832,016033,Bossico,998,,,,,
833,016099,Fino del Monte,1132,,,,,
834,016100,Fiorano al Serio,2991,BERGAMO,819.0,248.0,27.382146439317953,8.291541290538282
835,016044,Calcio,5323,BERGAMO,1588.0,1037.0,29.832801052038324,19.48149539733233
836,016071,Cerete,1586,BERGAMO,504.0,135.0,31.778058007566205,8.511979823455233
837,016072,Chignolo d'Isola,3420,BERGAMO,525.0,139.0,15.350877192982455,4.064327485380117
838,016093,Endine Gaiano,3407,,,,,
839,018077,Inverno e Monteleone,1463,,,,,
840,020014,Castel d'Ario,4493,,,,,
841,017203,Visano,1998,,,,,
842,018178,Villa Biscossi,64,PAVIA,8.0,2.0,12.5,3.125
843,017104,Marcheno,4268,,,,,
844,017079,Gianico,2159,BRESCIA,513.0,213.0,23.761000463177396,9.865678554886522
845,017080,Gottolengo,5042,,,,,
846,017039,Carpenedolo,12910,,,,,
847,017040,Castegnato,8377,BRESCIA,1940.0,658.0,23.15864868091202,7.854840635072222
848,017041,Castelcovati,6634,BRESCIA,1339.0,448.0,20.183901115465783,6.753090141694302
849,017054,Cimbergo,534,BRESCIA,150.0,58.0,28.089887640449437,10.861423220973784
850,017055,Cividate Camuno,2727,BRESCIA,683.0,284.0,25.045837917125045,10.414374770810415
851,017056,Coccaglio,8753,BRESCIA,2138.0,758.0,24.425911116188736,8.659888038386839
852,017033,Calvagese della Riviera,3528,BRESCIA,640.0,173.0,18.140589569160998,4.903628117913832
853,017090,Lodrino,1645,,,,,
854,017042,Castel Mella,10899,,,,,
855,017100,Malegno,2005,BRESCIA,543.0,254.0,27.08229426433915,12.668329177057357
856,017101,Malonno,3127,BRESCIA,734.0,427.0,23.4729772945315,13.655260633194755
857,017082,Idro,1899,BRESCIA,430.0,137.0,22.643496577145868,7.214323328067404
858,017091,Lograto,3774,BRESCIA,960.0,356.0,25.437201907790143,9.432962374138844
859,017093,Longhena,557,BRESCIA,169.0,50.0,30.341113105924595,8.976660682226212
860,017074,Gardone Riviera,2630,,,,,
861,017102,Manerba del Garda,5295,BRESCIA,1004.0,213.0,18.961284230406044,4.022662889518414
862,017081,Gussago,16534,BRESCIA,4293.0,1628.0,25.964678843595017,9.846377162211201
863,017043,Castenedolo,11475,,,,,
864,017075,Gardone Val Trompia,11495,BRESCIA,3089.0,1325.0,26.872553284036538,11.526750761200521
865,017050,Ceto,1803,,,,,
866,017044,Casto,1669,BRESCIA,326.0,108.0,19.532654284002398,6.470940683043739
867,017103,Manerbio,13167,BRESCIA,3321.0,1237.0,25.222146274777852,9.39469886838308
868,017066,Dello,5544,BRESCIA,1116.0,384.0,20.12987012987013,6.926406926406926
869,017067,Desenzano del Garda,29250,BRESCIA,7247.0,2139.0,24.776068376068377,7.312820512820513
870,017062,Corte Franca,7168,BRESCIA,1657.0,616.0,23.116629464285715,8.59375
871,017083,Incudine,359,,,,,
872,017084,Irma,128,,,,,
873,016111,Gazzaniga,4989,BERGAMO,1343.0,475.0,26.91922228903588,9.520946081379034
874,016113,Ghisalba,6111,BERGAMO,1164.0,357.0,19.047619047619047,5.841924398625429
875,019051,Grumello Cremonese ed Uniti,1717,CREMONA,437.0,184.0,25.45136866627839,10.716365754222481
876,019052,Gussola,2688,CREMONA,657.0,294.0,24.441964285714285,10.9375
877,015032,Bresso,26376,,,,,
878,019022,Casalmorano,1624,CREMONA,501.0,255.0,30.84975369458128,15.701970443349754
879,019023,Casteldidone,566,,,,,
880,020027,Gonzaga,8825,,,,,
881,014056,Rogolo,544,,,,,
882,014057,Samolaco,2884,SONDRIO,607.0,190.0,21.047156726768378,6.588072122052704
883,014069,Traona,2834,SONDRIO,540.0,211.0,19.054340155257588,7.44530698659139
884,014070,Tresivio,1998,SONDRIO,465.0,198.0,23.273273273273272,9.90990990990991
885,014072,Valdisotto,3621,,,,,
886,014046,Novate Mezzola,1883,SONDRIO,437.0,116.0,23.207647371216144,6.160382368560807
887,014047,Pedesina,37,,,,,
888,014048,Piantedo,1404,SONDRIO,266.0,83.0,18.945868945868945,5.911680911680912
889,020055,San Benedetto Po,6855,MANTOVA,1600.0,671.0,23.340627279358134,9.788475565280818
890,018074,Golferenzo,188,,,,,
891,018016,Borgo Priolo,1362,PAVIA,287.0,117.0,21.071953010279003,8.590308370044053
892,018075,Gravellona Lomellina,2734,,,,,
893,020010,Casalmoro,2194,,,,,
894,020011,Casaloldo,2715,MANTOVA,463.0,141.0,17.05340699815838,5.193370165745856
895,020012,Casalromano,1502,MANTOVA,282.0,108.0,18.77496671105193,7.1904127829560585
